guid,full_name,parent_organization,category,description,eligibility_requirements,min_age,max_age,services_provided,keywords,website,program_email,full_address,intake_instructions,latitude,longitude,text_message_instructions,phone_label_1,phone_1,phone_1_ext,phone_label_2,phone_2,phone_2_ext,crisis_line_label,crisis_line_number,financial_information,languages_offered,building_description,ADA_accessibility_notes,transit_instructions,blog_link,twitter_link,facebook_link,youtube_link,instagram_link,covid_message,city,cost_keywords,agency_verified,date_agency_verified,image_url,office_entrance_image_url
1,Casper Family Connections,,Counseling: Offices,"Provides child and adolescent therapy for personality disorders, depression, anxiety, and parenting and family conflict.",,11,20,,In-Person,https://www.casperfamilyconnections.org/,karlea.casperfamilyconnections@gmail.com,"500 S Wolcott Street Suite 102, Casper, WY 82601",,42.8455380,-106.3238660,,,307-233-2200,,,,,,,,,,,,,,,,,,Casper,,,,,
8,Harmony Health,,Counseling: Offices,"Harmony Health offers trusted mental health services from top providers, focusing on compassionate, holistic care to empower your well-being. Counseling and therapy services from individuals and couples and CBT to EMDR.",,11,20,,In-Person,https://www.harmonyhealthcasper.com/,,"1300 East A Street, Casper, WY 82601",,42.8515400,-106.3073200,,,307-235-3333,,,,,,,,,,"Adams, PPC",,,,http://www.facebook.com/2008/fbml,,https://www.instagram.com/openroadtherapy,,Casper,,,,,
9,Mental Health Hub,Mental Health Hub Therapy & Training,Counseling: Offices,Find counseling and many other mental health resources at our therapy and training center.,,11,20,,In-Person,https://mentalhealthhub307.com/,mentalhealthhub307@gmail.com,"701 Antler Dr, Casper, WY 82601",,42.8511578,-106.3348317,,,307-374-6463,,,,,,,,,,,,,,https://www.facebook.com/profile.php?id=61555506782594,,https://www.instagram.com/mentalhealthhub307,,Casper,,,,,
11,National Alliance on Mental Illness (NAMI) - Wyoming,online resource & call center,Counseling: Offices,National call center and resources for mental illness.,,11,20,,Online Only,https://namiwyoming.com/,,,,,,,,1-800-950-6264,,,,,,,,,,,,,,,,,,,,,,,
3,Central Wyoming Counseling Center,Central Wyoming Counseling Center,Counseling: Offices,"Central Wyoming Counseling Center’s compassionate clinicians and support staff are dedicated to bringing hope, healing, and recovery to the people we serve.",,11,20,,"In-Person,Medicaid",https://cwcc.us/,hosting@thebarkfirm.com,"1430 Wilkins Circle, Casper, WY 82601","APPOINTMENT  
								 
								 
									Telehealth available for most outpatient services",42.8653176,-106.3416615,,,307-237-9583,,,,,,,Insurance,for most outpatient services,,,,,,https://www.facebook.com/tr?id=260823243714686&ev=PageView&noscript=1,,https://www.instagram.com/centralwyocc/,,Casper,,,,,
18,"Amy Berry, LCSW",,Counseling: Individual Providers,"Child, adolescent, and adult therapy for individuals dealing with a variety of mental health related concerns. Accepts Medicaid and Medicare",,11,20,,"In-Person,Medicaid,Medicare",https://www.facebook.com/p/amy-berry-msw-lcsw-100063536755260/,,"1541 Diamond Drive, Casper, WY 82601",,42.8010417,-106.3417026,,,307-259-7015,,,,,,,,,,,,,,https://www.facebook.com/p/Amy-Berry-MSW-LCSW-100063536755260/,,,,Casper,,,,,
10,Mercer Family Resource Center,Mercer Family Resource Center,Counseling: Offices,Anger Management is a course for teens 12-18. This program uses the curriculum Responding in Peaceful and Positive Ways. This program is designed to enable your teen to recognize the underlying emotions/triggers and replace anger with healthy coping skills.,,11,20,,"In-Person,Substance Use",https://mercercasper.com/youth-classes,mercer@mercercasper.com,"535 W. Yellowstone Highway, Casper, WY 82601","intake paperwork
     
    

   




      

 
    Anger Management for Teens Coping, Resiliency, &amp; Growth",42.8473725,-106.3304308,,,307-265-7366,,,,,,,free,modern,,accessible to anyone in the community!,,,,http://www.facebook.com/2008/fbml,,http://instagram.com/mercerfrc1971,,Casper,,,,,
14,Solutions Counseling Services,,Counseling: Offices,"Multiple clinicians provide therapy services for children, adolescents, and adults. Specializing in family conflict, parenting, sexual abuse, and trauma counseling. Medicaid accepted.",,11,20,,"In-Person,Medicaid,Trauma",https://www.solutionscounselingserviceswy.com/,,"1010 East 1st Street Suite A, Casper, WY 82601",,42.8503251,-106.3121810,,,307-234-9979,,,,,,,,,,,,,,,,,,Casper,,,,,
19,Barnosky Counseling Services,,Counseling: Individual Providers,Counseling offering Telehealth appointments. Paperwork can be filled out online. Schedule an appointment today. Casper Wyoming Counselors. mental health casper. casper counselors. casper male counselor. casper counseling. counseling in casper. therapy casper Wyoming. male therapist casper Wyoming. male therapist casper. child counselor.,,11,20,,"In-Person,Medicaid,Trauma",https://www.bcscasper.com/,barnoskyrobert@gmail.com,"800 Werner Court Suite 300, Casper, WY 82601","appointment
     
    
 
     
 
 

    
       
  
  
  
 
    Open Menu
 
 
   

   
     
   
 

   
   
     
      Home",42.8597250,-106.3327580,,,307-436-6345,,,,,,,"Medicaid 
               . Insurance  
       
     
     
       
         
             
         
         . BlueCross",,,,,,,,,,,Casper,,,,,
15,Winds of Change Therapy,,Counseling: Offices,"Multiple clinicians provide therapy services to children, adolescents, and adults. Medicaid accepted.",,11,20,,"In-Person,Medicaid",,,"800 Werner Court Suite 235, Casper, WY 82601",,42.8597250,-106.3327580,,,307-259-5139,,,,,,,,,,,,,,,,,,Casper,,,,,
